DEPT,SSTVD,Z,GGKP
2807.0632,2111.92634731872,-2111.92634731872,2.46
2807.2156,2112.05612713624,-2112.05612713624,2.45
2807.368,2112.18590695375,-2112.18590695375,2.44
2807.5204,2112.31568677127,-2112.31568677127,2.49
2807.6728,2112.44546658879,-2112.44546658879,2.52
2807.8252,2112.57524640631,-2112.57524640631,2.51
2807.9776,2112.70502622383,-2112.70502622383,2.54
2808.13,2112.83480604134,-2112.83480604134,2.56
2808.2824,2112.96458585886,-2112.96458585886,2.55
2808.4348,2113.09436567638,-2113.09436567638,2.48
2808.5872,2113.22414511374,-2113.22414511374,2.36
2808.7396,2113.35392313198,-2113.35392313198,2.32
2808.892,2113.48370115023,-2113.48370115023,2.33
2809.0444,2113.61347916847,-2113.61347916847,2.36
2809.1968,2113.74325718672,-2113.74325718672,2.37
2809.3492,2113.87303520497,-2113.87303520497,2.35
2809.5016,2114.00281322321,-2114.00281322321,2.32
2809.654,2114.13259124146,-2114.13259124146,2.3
2809.8064,2114.2623692597,-2114.2623692597,2.3
2809.9588,2114.39214727795,-2114.39214727795,2.32
2810.1112,2114.52192501492,-2114.52192501492,2.33
2810.2636,2114.65170122446,-2114.65170122446,2.33
2810.416,2114.781477434,-2114.781477434,2.31
2810.5684,2114.91125364355,-2114.91125364355,2.3
2810.7208,2115.04102985309,-2115.04102985309,2.33
2810.8732,2115.17080606263,-2115.17080606263,2.31
2811.0256,2115.30058227217,-2115.30058227217,2.28
2811.178,2115.43035848171,-2115.43035848171,2.29
2811.3304,2115.56013469125,-2115.56013469125,2.31
2811.4828,2115.68991090079,-2115.68991090079,2.32
2811.6352,2115.81968602316,-2115.81968602316,2.31
2811.7876,2115.94945133233,-2115.94945133233,2.3
2811.94,2116.07921664149,-2116.07921664149,2.31
2812.0924,2116.20898195066,-2116.20898195066,2.32
2812.2448,2116.33874725983,-2116.33874725983,2.32
2812.3972,2116.468512569,-2116.468512569,2.32
2812.5496,2116.59827787817,-2116.59827787817,2.33
2812.702,2116.72804318734,-2116.72804318734,2.34
2812.8544,2116.8578084965,-2116.8578084965,2.35
2813.0068,2116.98757380567,-2116.98757380567,2.36
2813.1592,2117.11733757966,-2117.11733757966,2.38
2813.3116,2117.24708289212,-2117.24708289212,2.37
2813.464,2117.37682820457,-2117.37682820457,2.36
2813.6164,2117.50657351703,-2117.50657351703,2.35
2813.7688,2117.63631882949,-2117.63631882949,2.32
2813.9212,2117.76606414194,-2117.76606414194,2.3
2814.0736,2117.8958094544,-2117.8958094544,2.31
2814.226,2118.02555476686,-2118.02555476686,2.31
2814.3784,2118.15530007932,-2118.15530007932,2.31
2814.5308,2118.28504539177,-2118.28504539177,2.32
2814.6832,2118.41478962741,-2118.41478962741,2.33
2814.8356,2118.54451492671,-2118.54451492671,2.32
2814.988,2118.67424022602,-2118.67424022602,2.3
2815.1404,2118.80396552533,-2118.80396552533,2.3
2815.2928,2118.93369082464,-2118.93369082464,2.3
2815.4452,2119.06341612395,-2119.06341612395,2.31
2815.5976,2119.19314142326,-2119.19314142326,2.31
2815.75,2119.32286672257,-2119.32286672257,2.3
2815.9024,2119.45259202188,-2119.45259202188,2.33
2816.0548,2119.58231732119,-2119.58231732119,2.37
2816.2072,2119.71204200279,-2119.71204200279,2.35
2816.3596,2119.84174727251,-2119.84174727251,2.31
2816.512,2119.97145254224,-2119.97145254224,2.3
2816.6644,2120.10115781197,-2120.10115781197,2.3
2816.8168,2120.2308630817,-2120.2308630817,2.3
2816.9692,2120.36056835142,-2120.36056835142,2.31
2817.1216,2120.49027362115,-2120.49027362115,2.31
2817.274,2120.61997889088,-2120.61997889088,2.32
2817.4264,2120.7496841606,-2120.7496841606,2.34
2817.5788,2120.87938943033,-2120.87938943033,2.34
2817.7312,2121.00909454222,-2121.00909454222,2.36
2817.8836,2121.13877976593,-2121.13877976593,2.42
2818.036,2121.26846498965,-2121.26846498965,2.48
2818.1884,2121.39815021336,-2121.39815021336,2.51
2818.3408,2121.52783543708,-2121.52783543708,2.53
2818.4932,2121.65752066079,-2121.65752066079,2.52
2818.6456,2121.7872058845,-2121.7872058845,2.57
2818.798,2121.91689110822,-2121.91689110822,2.62
2818.9504,2122.04657633193,-2122.04657633193,2.62
2819.1028,2122.17626155565,-2122.17626155565,2.6
2819.2552,2122.30594677936,-2122.30594677936,2.6
2819.4076,2122.43561224342,-2122.43561224342,2.53
2819.56,2122.56527740469,-2122.56527740469,2.43
2819.7124,2122.69494256597,-2122.69494256597,2.39
2819.8648,2122.82460772724,-2122.82460772724,2.36
2820.0172,2122.95427288851,-2122.95427288851,2.34
2820.1696,2123.08393804979,-2123.08393804979,2.32
2820.322,2123.21360321106,-2123.21360321106,2.32
2820.4744,2123.34326837234,-2123.34326837234,2.32
2820.6268,2123.47293353361,-2123.47293353361,2.31
2820.7792,2123.60259869488,-2123.60259869488,2.32
2820.9316,2123.73224454145,-2123.73224454145,2.32
2821.084,2123.86188962385,-2123.86188962385,2.31
2821.2364,2123.99153470626,-2123.99153470626,2.3
2821.3888,2124.12117978867,-2124.12117978867,2.31
2821.5412,2124.25082487108,-2124.25082487108,2.33
2821.6936,2124.38046995348,-2124.38046995348,2.34
2821.846,2124.51011503589,-2124.51011503589,2.34
2821.9984,2124.6397601183,-2124.6397601183,2.35
2822.1508,2124.7694052007,-2124.7694052007,2.35
2822.3032,2124.89905028311,-2124.89905028311,2.33
2822.4556,2125.02867649652,-2125.02867649652,2.32
2822.608,2125.15830148363,-2125.15830148363,2.32
2822.7604,2125.28792647075,-2125.28792647075,2.31
2822.9128,2125.41755145787,-2125.41755145787,2.3
2823.0652,2125.54717644498,-2125.54717644498,2.3
2823.2176,2125.6768014321,-2125.6768014321,2.29
2823.37,2125.80642641922,-2125.80642641922,2.3
2823.5224,2125.93605140633,-2125.93605140633,2.31
2823.6748,2126.06567639345,-2126.06567639345,2.29
2823.8272,2126.19530138057,-2126.19530138057,2.27
2823.9796,2126.32490794515,-2126.32490794515,2.24
2824.132,2126.45451282055,-2126.45451282055,2.19
2824.2844,2126.58411769596,-2126.58411769596,2.19
2824.4368,2126.71372257136,-2126.71372257136,2.22
2824.5892,2126.84332744677,-2126.84332744677,2.24
2824.7416,2126.97293232217,-2126.97293232217,2.28
2824.894,2127.10253719758,-2127.10253719758,2.33
2825.0464,2127.23214207299,-2127.23214207299,2.34
2825.1988,2127.36174694839,-2127.36174694839,2.31
2825.3512,2127.4913518238,-2127.4913518238,2.3
2825.5036,2127.62093872388,-2127.62093872388,2.32
2825.656,2127.75052347116,-2127.75052347116,2.29
2825.8084,2127.88010821844,-2127.88010821844,2.24
2825.9608,2128.00969296571,-2128.00969296571,2.24
2826.1132,2128.13927771299,-2128.13927771299,2.24
2826.2656,2128.26886246026,-2128.26886246026,2.24
2826.418,2128.39844720754,-2128.39844720754,2.26
2826.5704,2128.52803195482,-2128.52803195482,2.29
2826.7228,2128.65761670209,-2128.65761670209,2.34
2826.8752,2128.78720144937,-2128.78720144937,2.4
2827.0276,2128.9167686693,-2128.9167686693,2.46
2827.18,2129.04633327203,-2129.04633327203,2.5
2827.3324,2129.17589787476,-2129.17589787476,2.5
2827.4848,2129.30546247749,-2129.30546247749,2.52
2827.6372,2129.43502708022,-2129.43502708022,2.53
2827.7896,2129.56459168296,-2129.56459168296,2.48
2827.942,2129.69415628569,-2129.69415628569,2.45
2828.0944,2129.82372088842,-2129.82372088842,2.42
2828.2468,2129.95328549115,-2129.95328549115,2.39
2828.3992,2130.08285009388,-2130.08285009388,2.45
2828.5516,2130.212397618,-2130.212397618,2.49
2828.704,2130.34194205977,-2130.34194205977,2.49
2828.8564,2130.47148650154,-2130.47148650154,2.48
2829.0088,2130.60103094332,-2130.60103094332,2.49
2829.1612,2130.73057538509,-2130.73057538509,2.5
2829.3136,2130.86011982686,-2130.86011982686,2.49
2829.466,2130.98966426863,-2130.98966426863,2.46
