DEPT,SSTVD,Z,GGKP
2663.4948,2129.06815155589,-2129.06815155589,2.49
2663.6472,2129.19334003947,-2129.19334003947,2.44
2663.7996,2129.31859409367,-2129.31859409367,2.42
2663.952,2129.44384814787,-2129.44384814787,2.41
2664.1044,2129.56910220207,-2129.56910220207,2.39
2664.2568,2129.69435625627,-2129.69435625627,2.39
2664.4092,2129.81961031047,-2129.81961031047,2.36
2664.5616,2129.94486436467,-2129.94486436467,2.35
2664.714,2130.07011841887,-2130.07011841887,2.37
2664.8664,2130.19537247307,-2130.19537247307,2.38
2665.0188,2130.32062652727,-2130.32062652727,2.36
2665.1712,2130.44591561256,-2130.44591561256,2.32
2665.3236,2130.57123972894,-2130.57123972894,2.33
2665.476,2130.69656384532,-2130.69656384532,2.32
2665.6284,2130.8218879617,-2130.8218879617,2.34
2665.7808,2130.94721207808,-2130.94721207808,2.36
2665.9332,2131.07253619446,-2131.07253619446,2.35
2666.0856,2131.19786031084,-2131.19786031084,2.33
2666.238,2131.32318442722,-2131.32318442722,2.33
2666.3904,2131.4485085436,-2131.4485085436,2.36
2666.5428,2131.57383265998,-2131.57383265998,2.35
2666.6952,2131.699218852,-2131.699218852,2.35
2666.8476,2131.82461294122,-2131.82461294122,2.35
2667.0,2131.95000703044,-2131.95000703044,2.35
2667.1524,2132.07540111966,-2132.07540111966,2.34
2667.3048,2132.20079520888,-2132.20079520888,2.33
2667.4572,2132.3261892981,-2132.3261892981,2.33
2667.6096,2132.45158338732,-2132.45158338732,2.38
2667.762,2132.57697747654,-2132.57697747654,2.47
2667.9144,2132.70237156576,-2132.70237156576,2.5
2668.0668,2132.82778482248,-2132.82778482248,2.49
2668.2192,2132.95324879515,-2132.95324879515,2.5
2668.3716,2133.07871276782,-2133.07871276782,2.41
2668.524,2133.20417674049,-2133.20417674049,2.34
2668.6764,2133.32964071316,-2133.32964071316,2.39
2668.8288,2133.45510468582,-2133.45510468582,2.52
2668.9812,2133.58056865849,-2133.58056865849,2.59
2669.1336,2133.70603263116,-2133.70603263116,2.59
2669.286,2133.83149660383,-2133.83149660383,2.6
2669.4384,2133.9569605765,-2133.9569605765,2.6
2669.5908,2134.08247071213,-2134.08247071213,2.58
2669.7432,2134.20800447881,-2134.20800447881,2.58
2669.8956,2134.33353824549,-2134.33353824549,2.59
2670.048,2134.45907201216,-2134.45907201216,2.59
2670.2004,2134.58460577884,-2134.58460577884,2.6
2670.3528,2134.71013954552,-2134.71013954552,2.59
2670.5052,2134.83567331219,-2134.83567331219,2.6
2670.6576,2134.96120707887,-2134.96120707887,2.6
2670.81,2135.08674084555,-2135.08674084555,2.59
2670.9624,2135.21227799683,-2135.21227799683,2.59
2671.1148,2135.33788146802,-2135.33788146802,2.51
2671.2672,2135.46348493922,-2135.46348493922,2.4
2671.4196,2135.58908841041,-2135.58908841041,2.38
2671.572,2135.71469188161,-2135.71469188161,2.39
2671.7244,2135.84029535281,-2135.84029535281,2.39
2671.8768,2135.965898824,-2135.965898824,2.4
2672.0292,2136.0915022952,-2136.0915022952,2.4
2672.1816,2136.21710576639,-2136.21710576639,2.38
2672.334,2136.34270923759,-2136.34270923759,2.36
2672.4864,2136.46834303972,-2136.46834303972,2.37
2672.6388,2136.5940161259,-2136.5940161259,2.37
2672.7912,2136.71968921207,-2136.71968921207,2.39
2672.9436,2136.84536229825,-2136.84536229825,2.39
2673.096,2136.97103538442,-2136.97103538442,2.39
2673.2484,2137.0967084706,-2137.0967084706,2.38
2673.4008,2137.22238155678,-2137.22238155678,2.37
2673.5532,2137.34805464295,-2137.34805464295,2.35
2673.7056,2137.47372772913,-2137.47372772913,2.36
2673.858,2137.5994008153,-2137.5994008153,2.4
2674.0104,2137.72513110938,-2137.72513110938,2.39
2674.1628,2137.85087372094,-2137.85087372094,2.38
2674.3152,2137.97661633251,-2137.97661633251,2.37
2674.4676,2138.10235894407,-2138.10235894407,2.34
2674.62,2138.22810155564,-2138.22810155564,2.35
2674.7724,2138.3538441672,-2138.3538441672,2.35
2674.9248,2138.47958677877,-2138.47958677877,2.36
2675.0772,2138.60532939033,-2138.60532939033,2.38
2675.2296,2138.7310720019,-2138.7310720019,2.38
2675.382,2138.85682272041,-2138.85682272041,2.38
2675.5344,2138.9826039413,-2138.9826039413,2.34
2675.6868,2139.10838516219,-2139.10838516219,2.33
2675.8392,2139.23416638309,-2139.23416638309,2.33
2675.9916,2139.35994760398,-2139.35994760398,2.35
2676.144,2139.48572882487,-2139.48572882487,2.36
2676.2964,2139.61151004576,-2139.61151004576,2.34
2676.4488,2139.73729126665,-2139.73729126665,2.34
2676.6012,2139.86307248754,-2139.86307248754,2.34
2676.7536,2139.98885370843,-2139.98885370843,2.34
2676.906,2140.11463492933,-2140.11463492933,2.34
2677.0584,2140.24041615022,-2140.24041615022,2.34
2677.2108,2140.36619737111,-2140.36619737111,2.34
2677.3632,2140.491978592,-2140.491978592,2.35
2677.5156,2140.61775981289,-2140.61775981289,2.34
2677.668,2140.74354103378,-2140.74354103378,2.35
2677.8204,2140.86932225468,-2140.86932225468,2.35
2677.9728,2140.99510347557,-2140.99510347557,2.36
2678.1252,2141.12088685615,-2141.12088685615,2.36
2678.2776,2141.24667578516,-2141.24667578516,2.36
2678.43,2141.37246471417,-2141.37246471417,2.35
2678.5824,2141.49825364318,-2141.49825364318,2.35
2678.7348,2141.62404257219,-2141.62404257219,2.35
2678.8872,2141.7498315012,-2141.7498315012,2.35
2679.0396,2141.87562043022,-2141.87562043022,2.35
2679.192,2142.00140935923,-2142.00140935923,2.34
2679.3444,2142.12719828824,-2142.12719828824,2.34
2679.4968,2142.25298721725,-2142.25298721725,2.33
2679.6492,2142.37877614626,-2142.37877614626,2.33
2679.8016,2142.50456507527,-2142.50456507527,2.33
2679.954,2142.63035400428,-2142.63035400428,2.35
2680.1064,2142.75614293329,-2142.75614293329,2.41
2680.2588,2142.8819318623,-2142.8819318623,2.46
2680.4112,2143.00772079132,-2143.00772079132,2.44
2680.5636,2143.13350972033,-2143.13350972033,2.39
2680.716,2143.25929864934,-2143.25929864934,2.4
2680.8684,2143.38509025563,-2143.38509025563,2.41
2681.0208,2143.51088682541,-2143.51088682541,2.45
2681.1732,2143.6366833952,-2143.6366833952,2.49
2681.3256,2143.76247996499,-2143.76247996499,2.48
2681.478,2143.88827653477,-2143.88827653477,2.45
2681.6304,2144.01407310456,-2144.01407310456,2.44
2681.7828,2144.13986967435,-2144.13986967435,2.44
2681.9352,2144.26566624413,-2144.26566624413,2.43
2682.0876,2144.39146281392,-2144.39146281392,2.41
2682.24,2144.51725938371,-2144.51725938371,2.4
2682.3924,2144.64305595349,-2144.64305595349,2.41
2682.5448,2144.76885252328,-2144.76885252328,2.39
2682.6972,2144.89464909307,-2144.89464909307,2.36
2682.8496,2145.02044566285,-2145.02044566285,2.39
2683.002,2145.14624223264,-2145.14624223264,2.44
2683.1544,2145.27203880242,-2145.27203880242,2.47
2683.3068,2145.39783537221,-2145.39783537221,2.49
2683.4592,2145.523631942,-2145.523631942,2.5
