DEPT,SSTVD,Z,NEU,GGKP
2540.8128,2150.89267862867,-2150.89267862867,0.2425,2.46
2540.9652,2151.02390761053,-2151.02390761053,0.229,2.43
2541.1176,2151.15513659239,-2151.15513659239,0.2185,2.39
2541.27,2151.28636557425,-2151.28636557425,0.217,2.36
2541.4224,2151.41759455611,-2151.41759455611,0.2129,2.37
2541.5748,2151.54882353797,-2151.54882353797,0.2039,2.44
2541.7272,2151.68005251983,-2151.68005251983,0.1846,2.49
2541.8796,2151.81128150169,-2151.81128150169,0.1527,2.51
2542.032,2151.94251048355,-2151.94251048355,0.1229,2.49
2542.1844,2152.07373946541,-2152.07373946541,0.1064,2.48
2542.3368,2152.20496844727,-2152.20496844727,0.1075,2.45
2542.4892,2152.33619742913,-2152.33619742913,0.1238,2.4
2542.6416,2152.46742641099,-2152.46742641099,0.1433,2.36
2542.794,2152.59865539285,-2152.59865539285,0.1637,2.33
2542.9464,2152.72988437471,-2152.72988437471,0.183,2.32
2543.0988,2152.86113076452,-2152.86113076452,0.1965,2.31
2543.2512,2152.99240486494,-2152.99240486494,0.1985,2.32
2543.4036,2153.12367896536,-2153.12367896536,0.1918,2.32
2543.556,2153.25495306578,-2153.25495306578,0.186,2.32
2543.7084,2153.3862271662,-2153.3862271662,0.1868,2.32
2543.8608,2153.51750126662,-2153.51750126662,0.1906,2.3
2544.0132,2153.64877536704,-2153.64877536704,0.1915,2.28
2544.1656,2153.78004946746,-2153.78004946746,0.1909,2.27
2544.318,2153.91132356787,-2153.91132356787,0.1907,2.27
2544.4704,2154.04259766829,-2154.04259766829,0.1947,2.28
2544.6228,2154.17387176871,-2154.17387176871,0.1983,2.3
2544.7752,2154.30514586913,-2154.30514586913,0.1941,2.3
2544.9276,2154.43641996955,-2154.43641996955,0.1891,2.29
2545.08,2154.56769406997,-2154.56769406997,0.187,2.28
2545.2324,2154.69896817039,-2154.69896817039,0.1876,2.28
2545.3848,2154.83024227081,-2154.83024227081,0.1879,2.29
2545.5372,2154.96151637123,-2154.96151637123,0.1891,2.3
2545.6896,2155.09279047165,-2155.09279047165,0.1942,2.31
2545.842,2155.22406457206,-2155.22406457206,0.202,2.32
2545.9944,2155.35533867248,-2155.35533867248,0.2065,2.32
2546.1468,2155.4866127729,-2155.4866127729,0.2039,2.31
2546.2992,2155.61788687332,-2155.61788687332,0.1977,2.31
2546.4516,2155.74916097374,-2155.74916097374,0.1892,2.31
2546.604,2155.88043507416,-2155.88043507416,0.1789,2.3
2546.7564,2156.01170917458,-2156.01170917458,0.1697,2.3
2546.9088,2156.142983275,-2156.142983275,0.1664,2.31
2547.0612,2156.27425737542,-2156.27425737542,0.1686,2.32
2547.2136,2156.40553147584,-2156.40553147584,0.1757,2.32
2547.366,2156.53680557626,-2156.53680557626,0.1857,2.31
2547.5184,2156.66807967667,-2156.66807967667,0.1915,2.31
2547.6708,2156.79930881959,-2156.79930881959,0.1916,2.31
2547.8232,2156.93042468623,-2156.93042468623,0.1922,2.31
2547.9756,2157.06154055286,-2157.06154055286,0.19,2.31
2548.128,2157.1926564195,-2157.1926564195,0.1859,2.31
2548.2804,2157.32377228613,-2157.32377228613,0.1834,2.31
2548.4328,2157.45488815276,-2157.45488815276,0.1769,2.31
2548.5852,2157.5860040194,-2157.5860040194,0.1704,2.31
2548.7376,2157.71711988603,-2157.71711988603,0.1713,2.3
2548.89,2157.84823575266,-2157.84823575266,0.1804,2.29
2549.0424,2157.9793516193,-2157.9793516193,0.1883,2.28
2549.1948,2158.11046748593,-2158.11046748593,0.1924,2.29
2549.3472,2158.24158335256,-2158.24158335256,0.1945,2.29
2549.4996,2158.3726992192,-2158.3726992192,0.2002,2.3
2549.652,2158.50381508583,-2158.50381508583,0.2085,2.3
2549.8044,2158.63493095246,-2158.63493095246,0.2118,2.3
2549.9568,2158.7660468191,-2158.7660468191,0.2073,2.29
2550.1092,2158.89716268573,-2158.89716268573,0.2014,2.27
2550.2616,2159.02827855237,-2159.02827855237,0.2001,2.27
2550.414,2159.159394419,-2159.159394419,0.1984,2.27
2550.5664,2159.29051028563,-2159.29051028563,0.2018,2.29
2550.7188,2159.42162615227,-2159.42162615227,0.2057,2.3
2550.8712,2159.5527420189,-2159.5527420189,0.2075,2.31
2551.0236,2159.68385788553,-2159.68385788553,0.2071,2.31
2551.176,2159.81497375217,-2159.81497375217,0.2032,2.3
2551.3284,2159.9460896188,-2159.9460896188,0.1967,2.31
2551.4808,2160.07720548543,-2160.07720548543,0.1914,2.3
2551.6332,2160.20832135207,-2160.20832135207,0.1904,2.29
2551.7856,2160.3394372187,-2160.3394372187,0.192,2.28
2551.938,2160.47055308534,-2160.47055308534,0.1944,2.27
2552.0904,2160.60166895197,-2160.60166895197,0.199,2.26
2552.2428,2160.73275570758,-2160.73275570758,0.205,2.26
2552.3952,2160.86371198715,-2160.86371198715,0.2045,2.26
2552.5476,2160.99466826672,-2160.99466826672,0.1949,2.26
2552.7,2161.12562454629,-2161.12562454629,0.1883,2.25
2552.8524,2161.25658082587,-2161.25658082587,0.1892,2.26
2553.0048,2161.38753710544,-2161.38753710544,0.1899,2.27
2553.1572,2161.51849338501,-2161.51849338501,0.1923,2.29
2553.3096,2161.64944966458,-2161.64944966458,0.1981,2.3
2553.462,2161.78040594415,-2161.78040594415,0.1996,2.31
2553.6144,2161.91136222373,-2161.91136222373,0.1966,2.3
2553.7668,2162.0423185033,-2162.0423185033,0.198,2.29
